origState,destState,familycnt,personcnt
117,137,4,20
142,117,5,26
125,134,3,14
117,136,8,39
125,133,13,70
109,139,8,57
134,118,3,15
134,117,1,5
117,134,1,5
142,113,1,8
109,136,40,262
126,118,1,10
142,111,1,8
126,117,2,17
142,110,4,20
118,119,11,78
118,117,49,308
118,116,1,5
140,147,2,15
118,113,2,8
1897,121,1,5
124,147,1,9
141,129,2,13
141,128,1,4
124,145,1,6
124,142,22,154
133,127,1,5
133,125,8,47
125,126,1,4
142,109,2,14
117,129,11,83
133,123,9,59
134,109,1,5
109,129,2,16
133,120,1,9
125,123,9,50
126,109,1,6
109,126,2,12
109,125,6,33
142,101,1,8
117,121,16,101
118,107,1,5
118,106,2,11
140,139,1,9
123,154,1,5
140,137,1,7
118,101,1,4
124,139,23,121
124,137,1,5
124,136,2,10
141,118,2,8
124,134,1,18
125,118,1,10
117,119,4,24
117,118,16,106
125,112,1,4
117,113,2,11
140,128,1,8
123,142,1,4
124,129,2,13
124,125,1,5
907,136,1,5
124,121,6,48
125,109,8,43
117,109,1,8
117,105,7,46
600,155,1,7
130,152,1,10
130,151,1,10
131,139,1,8
117,101,2,11
600,151,11,56
123,139,2,11
123,133,9,61
140,113,2,11
124,118,3,16
124,117,1,6
907,125,1,6
122,148,10,60
130,142,2,10
122,145,1,4
122,142,1,6
600,142,3,24
122,141,1,4
123,127,2,25
123,126,1,8
106,142,1,7
123,125,14,82
131,121,1,9
107,125,1,5
107,121,3,22
121,154,10,64
121,153,1,8
130,139,4,37
121,152,67,485
121,151,1,14
600,139,5,31
600,138,1,5
113,152,7,39
122,137,2,9
130,133,1,4
600,136,18,106
122,135,2,9
122,134,1,4
106,136,1,4
877,135,2,8
121,148,4,26
121,147,87,533
113,148,7,41
113,147,27,156
121,142,2,15
105,148,1,5
113,145,50,311
105,147,6,30
105,145,1,5
122,128,15,77
600,128,1,4
600,126,9,44
113,140,3,32
122,124,1,5
600,123,4,28
600,122,3,26
600,121,2,9
123,109,1,6
121,139,23,146
121,137,21,171
121,136,3,21
113,139,2,26
121,134,1,10
113,137,29,214
105,139,1,6
113,136,2,9
105,137,1,5
122,117,1,5
600,113,1,7
122,113,1,7
120,147,1,6
112,145,3,21
121,129,94,570
121,128,1,4
113,128,5,22
121,124,2,14
105,129,6,40
121,123,1,8
743,139,3,17
113,121,7,41
600,106,5,49
743,136,2,15
122,105,2,18
105,121,1,10
122,101,1,5
121,119,1,4
121,118,206,1285
121,117,69,426
113,118,2,12
113,117,3,23
105,118,5,28
113,112,23,138
113,111,1,9
105,113,1,4
743,122,3,17
120,129,1,4
112,129,1,10
120,121,2,12
742,136,1,5
113,109,2,8
121,105,8,41
858,142,1,6
113,105,3,17
121,101,19,120
105,104,1,5
113,101,95,585
105,101,3,20
111,139,1,4
120,117,1,6
112,113,1,4
670,152,1,5
670,151,2,15
200,154,1,6
102,148,2,12
743,106,1,13
200,152,2,20
110,142,2,9
111,121,2,15
148,147,4,21
148,145,1,7
104,105,2,20
112,101,1,6
670,142,4,19
110,139,9,60
200,147,3,29
101,152,2,16
200,145,3,23
200,142,11,73
111,117,1,8
147,154,1,5
147,153,1,10
147,152,33,230
147,151,1,4
139,154,18,108
156,136,1,4
139,152,39,231
139,151,2,10
139,150,1,4
670,139,4,22
670,137,1,5
670,136,1,4
101,148,7,41
101,147,92,569
101,145,20,131
200,139,6,43
200,137,2,17
200,136,9,58
101,140,2,9
200,134,7,36
110,124,1,5
147,148,9,45
139,148,1,5
155,142,1,4
147,145,10,71
139,147,5,35
715,152,2,17
147,142,1,6
139,145,2,13
139,144,1,6
148,129,1,9
147,140,1,7
139,142,83,530
100,154,1,4
100,152,2,11
148,122,2,10
100,151,1,6
101,139,2,22
670,124,2,10
101,137,24,156
670,121,1,7
101,135,1,4
200,128,1,4
110,118,1,6
154,152,175,1177
200,125,4,33
200,124,2,12
200,123,3,19
200,122,1,4
200,121,2,18
147,139,2,14
155,136,4,22
200,120,1,5
147,137,52,350
139,137,9,61
139,136,17,117
139,134,9,48
139,133,1,5
139,131,1,6
100,147,4,26
670,118,2,11
148,113,2,10
100,142,3,17
101,129,4,27
101,128,31,201
810,122,2,9
101,124,1,9
200,118,1,5
200,117,3,16
101,121,2,35
154,142,12,68
715,139,5,35
155,126,1,5
147,129,53,369
147,128,21,148
200,110,2,8
139,129,6,35
147,125,1,4
139,127,1,6
147,124,1,4
139,126,4,28
147,122,1,9
139,125,6,38
139,124,3,23
147,121,81,513
147,120,1,5
100,139,4,19
100,137,3,21
139,121,13,82
139,120,3,17
100,136,1,6
148,105,7,83
100,134,1,7
153,152,2,10
137,157,1,9
154,139,18,115
101,118,4,32
154,138,1,9
145,152,2,20
101,117,5,33
154,137,1,6
137,153,1,11
154,136,2,24
200,109,1,4
137,152,16,108
101,113,28,193
101,112,6,32
129,152,9,57
129,151,1,7
200,101,1,4
147,118,34,208
147,117,54,341
139,119,8,64
139,118,173,1147
139,117,31,196
715,122,1,4
147,113,21,139
147,110,1,4
100,129,2,12
100,128,2,12
139,110,4,18
100,125,1,9
145,148,1,4
100,124,1,4
145,147,35,260
153,144,1,6
100,121,5,40
153,141,1,5
137,147,147,908
145,143,1,7
154,129,2,9
137,145,31,181
129,148,4,20
129,147,26,169
145,140,1,6
101,105,5,24
129,145,1,6
137,141,1,12
154,124,1,9
154,123,1,5
137,140,1,4
146,125,1,4
154,122,1,6
154,121,4,25
147,109,1,14
139,109,3,17
147,105,20,133
139,107,2,17
152,154,158,1036
139,105,1,5
147,101,104,648
152,151,4,22
153,139,3,30
100,118,3,31
144,153,2,10
139,101,1,5
136,155,4,24
136,154,2,14
145,139,1,9
100,113,1,4
145,137,31,197
136,151,26,149
137,139,6,40
128,152,1,5
137,136,1,7
129,139,5,34
154,118,4,20
154,117,3,16
129,137,5,50
129,136,1,6
129,134,1,4
137,131,1,5
137,130,2,13
152,149,1,7
152,147,87,528
152,145,3,23
136,148,1,6
152,142,10,63
100,109,1,6
136,147,2,16
136,145,1,7
128,148,1,5
144,142,1,6
136,144,1,17
128,147,18,107
145,129,2,16
100,105,1,4
145,128,14,104
128,145,3,12
136,142,59,348
145,127,1,16
153,123,1,4
137,129,7,50
128,142,1,8
137,128,9,49
145,124,1,4
129,128,1,6
145,122,2,12
145,121,2,8
129,125,1,4
137,122,1,9
129,124,1,13
137,121,23,199
129,122,2,8
129,121,39,237
151,154,1,6
151,152,1,6
152,139,85,507
152,137,32,224
720,145,1,8
152,136,1,4
144,137,1,4
720,142,6,39
136,139,53,310
144,136,8,47
136,137,1,4
144,134,1,4
152,130,1,6
119,152,1,6
153,118,2,23
128,137,2,24
136,134,9,78
119,150,1,8
136,133,5,24
145,118,1,4
145,117,1,17
137,119,2,12
137,118,76,457
153,111,1,7
137,117,10,95
129,119,1,5
145,113,104,607
145,112,2,9
129,118,7,47
650,133,1,4
145,111,1,23
129,117,13,87
137,113,65,380
137,112,3,14
129,113,3,16
151,142,5,24
720,139,1,5
152,129,20,134
152,128,4,19
720,136,3,14
119,147,1,10
152,124,3,23
136,128,1,8
144,125,12,56
152,121,109,729
128,129,2,16
136,126,44,250
136,125,13,80
136,124,1,4
136,123,3,16
128,124,1,4
145,105,1,7
128,122,13,88
145,101,79,459
142,154,15,87
142,153,1,4
129,105,6,28
151,139,9,58
142,152,9,48
137,101,51,287
142,151,1,4
151,136,48,294
126,155,1,4
129,101,1,5
134,152,1,6
151,133,6,30
118,154,4,19
118,153,2,23
152,119,3,19
152,118,35,222
118,152,9,64
152,117,6,32
118,150,1,4
119,139,5,49
119,136,1,11
136,119,3,21
152,113,3,23
136,118,7,47
152,111,2,12
136,117,8,66
128,119,1,11
144,113,1,5
128,118,1,6
128,117,1,5
136,113,1,10
128,113,6,40
150,142,1,5
151,126,2,15
142,140,2,16
151,125,5,28
134,142,10,73
118,148,3,21
118,147,19,153
151,122,1,8
118,145,2,10
720,118,1,9
127,129,1,4
720,117,2,10
118,142,15,98
144,109,6,42
127,125,1,5
135,122,1,4
119,127,1,4
136,109,22,129
152,101,10,52
119,121,2,10
141,153,1,5
142,139,185,1179
128,101,11,65
133,151,17,99
134,139,17,100
142,136,38,240
125,152,1,4
142,134,10,61
117,154,2,13
125,151,11,68
142,133,1,18
126,139,7,57
134,136,34,203
151,118,1,4
117,152,2,22
117,151,1,12
151,117,1,5
126,136,7,40
118,139,80,547
109,152,1,5
118,137,32,216
1002,136,1,4
126,133,1,14
118,136,4,39
118,131,1,8
119,118,8,52
119,117,5,28
135,110,1,6
720,101,1,4
125,147,1,6
142,129,1,5
125,144,10,60
117,147,19,141
142,125,1,7
125,142,5,32
117,145,3,15
117,144,1,10
142,124,11,53
151,109,1,10
134,125,1,5
117,142,4,23
142,121,4,20
