origState,destState,familycnt,personcnt
117,151,3,13
121,124,1,8
117,150,36,329
121,122,1,6
715,139,2,12
715,136,3,17
877,106,4,24
156,142,1,8
124,154,4,21
670,148,12,67
124,152,10,47
670,145,1,5
117,148,19,128
117,147,12,63
670,142,17,89
153,105,1,6
121,119,15,83
670,140,1,4
121,118,81,471
121,117,66,385
117,142,7,51
117,141,25,150
117,140,1,5
121,113,1,4
715,129,1,4
131,155,5,28
131,150,42,304
124,147,1,4
670,139,36,194
670,136,18,89
124,142,18,89
117,139,47,274
670,134,1,5
117,137,1,8
121,109,1,4
117,136,11,54
117,135,1,5
121,106,1,9
117,133,1,5
117,132,2,16
121,105,23,134
117,131,1,7
121,101,1,7
715,118,2,12
715,117,2,16
131,142,1,7
131,141,2,9
124,139,16,109
670,129,17,95
670,127,1,4
670,126,7,31
670,124,1,4
117,129,56,314
117,128,3,34
117,127,1,7
670,122,2,10
670,121,1,5
117,126,3,27
117,124,2,15
117,121,21,117
117,120,4,24
715,109,1,4
715,106,2,8
732,155,27,152
732,153,1,7
131,132,1,7
124,129,6,40
124,128,1,6
670,119,7,37
670,118,11,60
670,117,22,108
124,121,1,4
117,119,123,804
670,113,1,4
117,118,43,273
830,144,1,6
117,113,1,6
117,111,1,4
131,129,1,11
127,155,7,71
124,119,1,4
131,120,1,4
124,118,2,14
124,117,7,37
124,110,1,6
117,107,2,12
117,106,7,35
117,105,6,32
134,155,2,10
117,101,1,6
134,152,2,9
134,150,1,6
131,119,12,77
131,118,1,5
127,142,2,8
141,155,1,4
134,148,1,6
134,144,1,4
134,142,13,82
127,139,1,5
127,138,1,5
127,137,1,4
127,136,2,12
865,147,1,5
131,106,1,6
141,147,1,8
134,139,9,50
134,136,22,109
732,119,4,34
127,126,1,5
865,139,1,4
141,139,1,11
141,134,1,8
134,129,1,7
134,126,1,8
134,124,1,4
134,121,1,4
127,118,1,5
127,117,1,5
137,157,1,4
141,129,1,5
137,152,36,245
134,119,1,9
134,118,8,46
134,117,3,24
102,128,1,5
134,110,1,4
144,155,2,11
137,148,9,44
137,147,53,381
141,119,2,26
137,145,16,101
137,143,1,4
742,136,1,5
137,141,1,4
134,109,1,4
151,155,8,43
703,136,2,13
151,150,1,11
137,139,1,8
137,136,1,6
742,127,1,5
105,148,56,341
105,147,37,245
141,106,6,44
137,131,1,5
105,145,1,4
742,123,1,6
137,130,1,8
105,141,2,18
105,140,4,29
151,148,1,6
151,142,2,9
102,105,5,30
151,141,1,9
112,148,2,9
112,145,4,30
137,129,14,73
137,128,11,77
742,119,1,4
105,139,1,6
600,158,1,4
742,117,3,18
137,123,1,5
105,137,2,14
600,155,21,133
137,121,20,149
137,120,1,5
600,151,10,55
600,150,2,17
151,139,7,46
151,136,29,175
703,117,1,6
151,133,14,87
144,127,1,4
144,125,21,123
137,119,9,46
137,118,20,115
137,117,10,72
105,129,38,237
105,128,8,46
137,113,49,321
105,126,1,4
137,112,2,16
600,142,4,22
105,122,9,53
600,141,1,7
105,121,3,16
105,120,2,12
151,126,4,22
200,156,1,6
151,125,13,74
147,152,17,118
200,155,31,162
200,154,1,6
720,158,1,10
147,150,4,26
200,153,1,4
151,123,2,11
720,155,4,18
200,151,2,12
200,150,16,110
144,118,1,8
144,117,2,10
112,128,4,17
112,123,1,5
112,122,1,4
600,139,2,9
105,119,1,6
137,105,17,127
