origState,destState,familycnt,personcnt
107,126,1,5
107,123,2,8
107,121,3,16
107,120,20,106
743,155,1,6
712,131,1,4
138,139,2,10
107,119,13,74
107,118,2,10
138,130,1,12
107,117,5,25
107,116,2,11
146,158,6,29
146,156,2,11
146,155,9,41
146,153,1,4
146,152,1,4
138,127,11,53
138,126,2,10
138,122,2,17
138,120,1,4
107,106,4,16
107,105,4,22
146,147,1,7
123,151,1,4
146,141,1,5
146,140,1,6
138,119,3,15
138,117,1,5
720,136,2,9
100,156,1,4
123,148,1,9
100,154,1,5
146,138,21,120
100,152,1,11
123,144,1,4
146,136,3,20
146,135,1,5
743,120,1,4
123,140,1,7
146,131,9,51
146,130,7,51
851,139,1,4
720,129,1,9
100,148,15,86
154,153,3,21
154,152,37,216
743,116,1,6
154,150,1,5
146,129,15,89
146,128,1,7
100,142,1,4
146,127,24,150
146,126,2,14
123,133,4,17
100,140,52,342
146,120,5,21
131,156,11,65
131,155,2,8
154,147,5,23
131,153,10,49
100,139,3,26
131,151,1,6
100,138,1,7
131,150,2,17
100,137,2,16
154,142,8,36
123,129,1,7
100,136,4,22
154,140,2,8
123,127,1,7
743,105,2,11
146,119,21,116
146,118,2,16
123,125,8,38
146,117,5,40
123,124,1,5
100,131,2,9
146,116,3,18
100,130,2,12
851,117,1,4
131,148,8,46
154,139,38,215
131,146,13,94
154,137,2,14
154,136,1,4
154,135,1,8
131,142,3,19
100,129,2,14
131,141,12,61
154,133,1,5
131,140,26,162
100,127,2,11
154,132,1,6
100,126,1,10
100,125,1,4
100,123,1,7
100,122,1,18
100,121,2,19
100,120,2,11
146,106,2,14
146,105,1,5
146,101,1,5
131,139,7,41
131,138,4,32
154,129,3,14
131,136,2,9
154,127,1,9
154,126,1,4
100,119,1,5
154,124,6,36
131,130,3,17
100,117,3,17
123,109,1,6
100,116,1,4
154,121,18,97
154,120,2,12
131,129,67,421
131,127,8,41
154,119,2,8
131,126,4,21
154,118,6,29
154,117,2,9
131,124,1,5
154,116,4,31
131,122,5,28
131,121,4,26
131,120,64,358
100,106,1,4
100,105,8,55
131,119,62,328
131,118,5,32
131,117,34,195
131,116,2,12
154,107,1,5
154,106,2,10
154,101,1,4
739,142,1,6
131,107,26,162
131,106,11,72
131,105,9,77
131,101,1,10
119,156,3,14
119,155,15,83
119,154,3,23
119,153,3,13
