origState,destState,familycnt,personcnt
107,126,2,8
107,120,4,22
743,155,1,5
712,139,1,6
743,150,2,14
138,139,1,4
712,131,1,4
107,119,3,13
138,130,1,4
107,117,2,9
107,116,4,23
720,155,1,8
146,158,8,53
743,142,1,4
712,129,2,10
146,155,1,5
146,153,1,4
138,127,1,4
107,106,1,5
107,105,1,7
743,139,5,32
720,142,1,8
123,155,3,18
712,119,1,5
123,151,2,13
712,116,3,25
138,119,2,8
743,127,1,5
100,154,1,4
720,131,1,6
743,122,3,17
100,150,1,7
123,142,4,22
743,120,1,5
123,141,1,7
123,140,1,7
146,131,4,30
720,129,1,6
154,156,1,4
100,148,4,29
154,153,2,12
743,118,3,18
154,152,54,327
743,116,2,20
100,145,1,9
154,150,2,15
123,136,1,5
100,142,2,11
720,120,1,7
146,127,2,10
100,141,1,10
146,126,1,10
123,133,2,11
100,140,4,23
131,156,3,15
154,148,2,20
131,155,6,30
131,154,2,10
131,153,2,11
720,118,1,11
131,152,2,15
720,117,1,6
100,138,1,4
131,150,2,13
100,137,1,7
154,142,7,40
123,129,1,8
100,136,4,23
154,140,2,13
123,127,5,22
146,119,9,53
123,126,2,11
123,125,17,100
146,117,1,4
100,131,1,7
131,148,2,8
154,139,39,223
131,146,4,25
720,109,3,23
154,136,1,5
100,129,6,48
131,141,10,58
100,128,1,6
100,127,1,5
123,119,1,4
154,131,3,19
100,123,1,8
100,121,2,18
100,120,2,12
131,139,2,9
131,138,2,8
154,129,2,12
131,136,4,19
154,127,1,12
154,126,4,30
100,119,1,4
154,124,7,50
100,118,3,12
131,130,1,10
100,117,1,4
154,121,16,108
154,120,7,44
123,107,2,8
123,106,1,9
100,113,1,9
100,112,1,8
100,110,1,8
131,129,13,87
131,127,2,8
154,119,2,20
131,126,4,19
154,118,3,16
154,117,1,7
154,116,2,15
131,120,24,137
100,105,3,22
100,104,2,13
131,119,46,268
131,118,4,22
131,117,14,73
131,116,2,11
154,107,1,4
154,106,1,5
131,110,1,6
131,107,3,20
131,106,4,22
131,105,2,20
131,104,1,6
119,158,4,35
119,156,6,28
119,155,16,104
119,154,4,31
119,153,11,56
119,150,3,26
119,148,5,27
119,146,48,289
119,142,10,57
119,141,11,62
119,140,3,16
119,139,13,80
119,138,6,37
119,136,6,41
119,131,137,774
119,130,6,42
127,158,1,6
127,155,19,93
127,153,1,4
127,152,1,4
127,150,1,5
119,129,40,264
119,127,36,180
1,129,1,4
119,126,4,22
119,125,1,5
119,124,1,4
119,121,1,13
119,120,143,922
824,125,1,4
127,148,3,29
127,146,32,187
104,150,6,43
127,142,1,6
127,141,3,22
127,140,1,8
119,118,18,97
119,117,40,236
119,116,3,23
119,112,3,15
